iteration,seed,status,loss,error
0,2026000,ok,0.24757354721520253,
1,2026001,ok,0.24781592877240266,
2,2026002,ok,0.2466176715406196,
3,2026003,ok,0.2472396143667937,
4,2026004,ok,0.24991616322519128,
5,2026005,ok,0.2538802529959871,
6,2026006,ok,0.2566441375200636,
7,2026007,ok,0.24728016555919768,
8,2026008,ok,0.26003846605885805,
9,2026009,ok,0.2489403880241873,
10,2026010,ok,0.24677559659746304,
11,2026011,ok,0.2524923012792373,
12,2026012,ok,0.24737167343474606,
13,2026013,ok,0.24658046830306626,
14,2026014,ok,0.24754857195616622,
15,2026015,ok,0.2550867583737172,
16,2026016,ok,0.24700149149466838,
17,2026017,ok,0.25106232715626015,
18,2026018,ok,0.25942298118320783,
19,2026019,ok,0.24956341358433262,
20,2026020,ok,0.2547138594782234,
21,2026021,ok,0.24772600668336808,
22,2026022,ok,0.24818335427053098,
23,2026023,ok,0.2421956757736651,
24,2026024,ok,0.24610550286613117,
25,2026025,ok,0.24793162334190574,
26,2026026,ok,0.24853675912498638,
27,2026027,ok,0.2485987054967602,
28,2026028,ok,0.24809183287230643,
29,2026029,ok,0.24722270100891197,
30,2026030,ok,0.2505428446035989,
31,2026031,ok,0.2563980972438482,
32,2026032,ok,0.25186035843679627,
33,2026033,ok,0.2569718033215066,
34,2026034,ok,0.24861468083855617,
35,2026035,ok,0.2558324461467794,
36,2026036,ok,0.25027930825387396,
37,2026037,ok,0.24426590302404694,
38,2026038,ok,0.24746143069722373,
39,2026039,ok,0.2523829367200331,
40,2026040,ok,0.2535286011727075,
41,2026041,ok,0.239804171309333,
42,2026042,ok,0.24330618157412848,
43,2026043,ok,0.2465505061100928,
44,2026044,ok,0.2489908599131254,
45,2026045,ok,0.2535336747856848,
46,2026046,ok,0.2463226167341153,
47,2026047,ok,0.2502707739275102,
48,2026048,ok,0.2528098595098759,
49,2026049,ok,0.2498399845639198,
50,2026050,ok,0.2522789905340659,
51,2026051,ok,0.2459863924218604,
52,2026052,ok,0.24688251263604338,
53,2026053,ok,0.25974751583185446,
54,2026054,ok,0.2469923409570926,
55,2026055,ok,0.24570061566657575,
56,2026056,ok,0.25384840888204974,
57,2026057,ok,0.25119446303732473,
58,2026058,ok,0.2467520369728546,
59,2026059,ok,0.24758432225073995,
60,2026060,ok,0.25014070956452905,
61,2026061,ok,0.24714995708967313,
62,2026062,ok,0.2500250020267512,
63,2026063,ok,0.24999339402350368,
64,2026064,ok,0.24717369731237843,
65,2026065,ok,0.2569480600118524,
66,2026066,ok,0.24714812237498526,
67,2026067,ok,0.24860331269884223,
68,2026068,ok,0.25184965517911007,
69,2026069,ok,0.24166298983219173,
70,2026070,ok,0.24773646157348275,
71,2026071,ok,0.2470963421733151,
72,2026072,ok,0.25111717071188533,
73,2026073,ok,0.25298920103153427,
74,2026074,ok,0.27114124810493534,
75,2026075,ok,0.2573676450954644,
76,2026076,ok,0.2461779509549471,
77,2026077,ok,0.24541345616539403,
78,2026078,ok,0.25477197944646396,
79,2026079,ok,0.25587727060180854,
80,2026080,ok,0.25063027189050124,
81,2026081,ok,0.24966955571222268,
82,2026082,ok,0.2609523958266057,
83,2026083,ok,0.2473889549092012,
84,2026084,ok,0.243627365788601,
85,2026085,ok,0.2519108174156623,
86,2026086,ok,0.2620951639684714,
87,2026087,ok,0.24656741646760771,
88,2026088,ok,0.24743192689165802,
89,2026089,ok,0.2490321408918098,
90,2026090,ok,0.2576030501251927,
91,2026091,ok,0.24358767105160894,
92,2026092,ok,0.24735876771723161,
93,2026093,ok,0.24748780679918456,
94,2026094,ok,0.25530701112531123,
95,2026095,ok,0.2526752603230945,
96,2026096,ok,0.2477203814342395,
97,2026097,ok,0.25219414337715973,
98,2026098,ok,0.24679549012112167,
99,2026099,ok,0.2480918957554409,
100,2026100,ok,0.25167578537234336,
101,2026101,ok,0.25913905088288697,
102,2026102,ok,0.25429050948060056,
103,2026103,ok,0.24718493555414323,
104,2026104,ok,0.2657196908793985,
105,2026105,ok,0.24741935253979838,
106,2026106,ok,0.24679800361927073,
107,2026107,ok,0.24677418938183154,
108,2026108,ok,0.26986551362363315,
109,2026109,ok,0.25305689526537634,
110,2026110,ok,0.24730422231219856,
111,2026111,ok,0.24583051204186995,
112,2026112,ok,0.27292047573849976,
113,2026113,ok,0.2495139539415144,
114,2026114,ok,0.24750665599221086,
115,2026115,ok,0.24651985602371998,
116,2026116,ok,0.25043169567412676,
117,2026117,ok,0.2467010438797744,
118,2026118,ok,0.2471715762577734,
119,2026119,ok,0.24680836711167928,
120,2026120,ok,0.24655010908835445,
121,2026121,ok,0.24714402857422926,
122,2026122,ok,0.24685251491301852,
123,2026123,ok,0.24987761345413909,
124,2026124,ok,0.26713316931662856,
125,2026125,ok,0.2485592323299394,
126,2026126,ok,0.24772086326584677,
127,2026127,ok,0.24680681443722652,
