iteration,seed,status,loss,error
0,2026000,ok,0.2664793650786234,
1,2026001,ok,0.246630189910084,
2,2026002,ok,0.2521935101663416,
3,2026003,ok,0.24659707733603375,
4,2026004,ok,0.25188334980134686,
5,2026005,ok,0.24696677776075204,
6,2026006,ok,0.24739828376269382,
7,2026007,ok,0.26564827937406277,
8,2026008,ok,0.2467209851166882,
9,2026009,ok,0.2591280735556085,
10,2026010,ok,0.25031553090569975,
11,2026011,ok,0.24700987641008543,
12,2026012,ok,0.25552776163571556,
13,2026013,ok,0.24065098187338257,
14,2026014,ok,0.24684588944768024,
15,2026015,ok,0.2611864711734101,
16,2026016,ok,0.26655552604228616,
17,2026017,ok,0.26979360466354757,
18,2026018,ok,0.23875252242685194,
19,2026019,ok,0.2537211435268748,
20,2026020,ok,0.2483316015602712,
21,2026021,ok,0.24688378546871845,
22,2026022,ok,0.24726493317321133,
23,2026023,ok,0.24620523471724087,
24,2026024,ok,0.24823478409980237,
25,2026025,ok,0.24741042938375518,
26,2026026,ok,0.25327225581093077,
27,2026027,ok,0.2842503537671161,
28,2026028,ok,0.2468025325397613,
29,2026029,ok,0.2579613352734524,
30,2026030,ok,0.2481134619247779,
31,2026031,ok,0.24501349413296658,
32,2026032,ok,0.22845967393417765,
33,2026033,ok,0.2832994838583099,
34,2026034,ok,0.2395781869257175,
35,2026035,ok,0.2474940365007642,
36,2026036,ok,0.24647236578294487,
37,2026037,ok,0.24924740985128774,
38,2026038,ok,0.24648036400228934,
39,2026039,ok,0.24833942255579267,
40,2026040,ok,0.2540741649244031,
41,2026041,ok,0.24273336513377144,
42,2026042,ok,0.24652857161697608,
43,2026043,ok,0.2464972829355472,
44,2026044,ok,0.247248080568393,
45,2026045,ok,0.24774441908631578,
46,2026046,ok,0.24768259881937799,
47,2026047,ok,0.2651706302949848,
48,2026048,ok,0.2999693439415302,
49,2026049,ok,0.24913982881918476,
50,2026050,ok,0.2477456800163517,
51,2026051,ok,0.335013176484634,
52,2026052,ok,0.2587076783636378,
53,2026053,ok,0.24707678282544318,
54,2026054,ok,0.24805687327223314,
55,2026055,ok,0.24662051566131019,
56,2026056,ok,0.2979531900414683,
57,2026057,ok,0.2534291839386579,
58,2026058,ok,0.24667236696119943,
59,2026059,ok,0.2540866179694574,
60,2026060,ok,0.24998501522305042,
61,2026061,ok,0.26149503177125644,
62,2026062,ok,0.24715315636583415,
63,2026063,ok,0.24765216936287376,
64,2026064,ok,0.2460424758919472,
65,2026065,ok,0.2599181687419347,
66,2026066,ok,0.24868033787473132,
67,2026067,ok,0.24735319747017914,
68,2026068,ok,0.24648171998268292,
69,2026069,ok,0.24613926347091672,
70,2026070,ok,0.24668364590296618,
71,2026071,ok,0.29823775027080046,
72,2026072,ok,0.24667744813618184,
73,2026073,ok,0.24592269516919196,
74,2026074,ok,0.24686825561809797,
75,2026075,ok,0.26900524022599526,
76,2026076,ok,0.2558977250719459,
77,2026077,ok,0.24723979137581165,
78,2026078,ok,0.2475908719468443,
79,2026079,ok,0.26620989040490617,
80,2026080,ok,0.2561281069738427,
81,2026081,ok,0.24660896382682068,
82,2026082,ok,0.24605873740916764,
83,2026083,ok,0.3082804615341556,
84,2026084,ok,0.24721657558583118,
85,2026085,ok,0.24693896644039134,
86,2026086,ok,0.24496996243746236,
87,2026087,ok,0.24571430249954618,
88,2026088,ok,0.24707746443216377,
89,2026089,ok,0.24533818727244885,
90,2026090,ok,0.24776857276860811,
91,2026091,ok,0.24694047981769926,
92,2026092,ok,0.2359633931391641,
93,2026093,ok,0.2477890464846595,
94,2026094,ok,0.43989641186689027,
95,2026095,ok,0.24764155054739356,
96,2026096,ok,0.24699201159329418,
97,2026097,ok,0.24786803316680014,
98,2026098,ok,0.2460301359015565,
99,2026099,ok,0.24766187892860878,
100,2026100,ok,0.2479195748867543,
101,2026101,ok,0.25384801957967845,
102,2026102,ok,0.24674834451788413,
103,2026103,ok,0.2666104406196653,
104,2026104,ok,0.23952036208789199,
105,2026105,ok,0.24640075374440526,
106,2026106,ok,0.2665695410572473,
107,2026107,ok,0.24709084922740776,
108,2026108,ok,0.3168029929243092,
109,2026109,ok,0.25029110053026027,
110,2026110,ok,0.24767685163230937,
111,2026111,ok,0.24676394440049212,
112,2026112,ok,0.24858569602296735,
113,2026113,ok,0.24823674226768824,
114,2026114,ok,0.246481095923021,
115,2026115,ok,0.248309284365448,
116,2026116,ok,0.24717786127483846,
117,2026117,ok,0.24211607426006307,
118,2026118,ok,0.24675020895355979,
119,2026119,ok,0.2471731691488741,
120,2026120,ok,0.24897908946260605,
121,2026121,ok,0.24683090754687967,
122,2026122,ok,0.24670972798917698,
123,2026123,ok,0.2841073426013635,
124,2026124,ok,0.24702465699520323,
125,2026125,ok,0.2467693324113144,
126,2026126,ok,0.24629149387402616,
127,2026127,ok,0.2665502794419969,
128,2026128,ok,0.24869116362605148,
129,2026129,ok,0.2509070729999296,
130,2026130,ok,0.2382793238483731,
131,2026131,ok,0.25478902703284817,
