dataset,horizon,model,corruption,corruption_seed,mse,mae,rmse,clean_mse,relative_degradation_pct
ETTh1,96,PatchTST-M_s2027,spikes_0.02,43,0.10638001561164856,0.23635756969451904,0.3261595070362091,0.055617909878492355,91.26935162442358
ETTh1,96,PatchTST-M_s2028,spikes_0.02,43,0.10781413316726685,0.23371264338493347,0.32835063338279724,0.055711790919303894,93.52121227520927
ETTh1,336,Last,clean,0,0.11327401548624039,0.2652042508125305,0.33656206727027893,0.11327401548624039,0.0
ETTh1,336,ARRidge,clean,0,0.09709288688026804,0.2409405591732832,0.3115973152648592,0.09709288688026804,0.0
ETTh1,336,PatchTST-M_s2026,clean,0,0.08508244901895523,0.22751957178115845,0.2916889488697052,0.08508244901895523,0.0
ETTh1,336,PatchTST-M_s2027,clean,0,0.08603134006261826,0.22915929555892944,0.2933109998703003,0.08603134006261826,0.0
ETTh1,336,PatchTST-M_s2028,clean,0,0.08415810763835907,0.22634686529636383,0.2901001572608948,0.08415810763835907,0.0
ETTh1,336,Last,gaussian_0.10,31,0.12474256008863449,0.27876514196395874,0.3531891405582428,0.11327401548624039,10.124603205037097
ETTh1,336,ARRidge,gaussian_0.10,31,0.09778178144742715,0.24221731226429025,0.31270078581197575,0.09709288688026804,0.709521149586001
ETTh1,336,PatchTST-M_s2026,gaussian_0.10,31,0.09001436084508896,0.2342870980501175,0.3000239431858063,0.08508244901895523,5.796626546369121
ETTh1,336,PatchTST-M_s2027,gaussian_0.10,31,0.0894915983080864,0.23409532010555267,0.2991514503955841,0.08603134006261826,4.022090371891895
ETTh1,336,PatchTST-M_s2028,gaussian_0.10,31,0.08730469644069672,0.23113121092319489,0.29547369480133057,0.08415810763835907,3.738901563541619
