domain,horizon,model,mse_mean,mae_mean,rmse_mean,mse_std,mae_std,rmse_std,mse_rank,best_simple_mse,improvement_vs_best_simple_pct
Climate,4,Last,0.1329716916014283,0.2744020805575774,0.3646528370949941,0.0,0.0,0.0,1.0,0.1329716916014283,0.0
Climate,4,ARRidge,0.1449444528978788,0.2862421411523378,0.380715711388273,0.0,0.0,0.0,2.0,0.1329716916014283,-9.003992618472411
Climate,4,DLinear-U,0.1471320241689682,0.2886595825354258,0.3835762143135071,0.0010772730356008,0.0015296773140899,0.0014028345197754,3.0,0.1329716916014283,-10.649133207979585
Climate,4,PatchTST,0.1728745649258295,0.3174679478009541,0.4157816569010417,0.0004254686840086,0.0015399690193518,0.000511462697257,4.0,0.1329716916014283,-30.008547566655604
Climate,4,DLinear-M,0.1861528754234314,0.3263846635818481,0.4313733081022898,0.0088409936380009,0.0122501218602437,0.0102432250000642,5.0,0.1329716916014283,-39.994365102468066
Climate,4,SeasonalNaive,2.861396196601314,1.350128433253232,1.6915661963403366,0.0,0.0,0.0,6.0,0.1329716916014283,-2051.883729642331
Climate,12,Last,0.4297193065972824,0.4919209234001258,0.6555297907778733,0.0,0.0,0.0,1.0,0.4297193065972824,0.0
Climate,12,ARRidge,0.4808676773880201,0.5348604274205696,0.6934462325141151,0.0,0.0,0.0,2.0,0.4297193065972824,-11.902739766512775
Climate,12,DLinear-U,0.487112283706665,0.5384374459584554,0.6979336341222128,0.001654054835638,0.0012555102430855,0.0011852082129448,3.0,0.4297193065972824,-13.355922395911623
Climate,12,DLinear-M,0.5716679692268372,0.5742593804995219,0.7558985352516174,0.0315010589641448,0.0173458884546129,0.0206899640018364,4.0,0.4297193065972824,-33.03287994052917
Climate,12,PatchTST,0.8781973918279012,0.7054319183031718,0.937082846959432,0.0195864672028765,0.0068319351306846,0.0104758176837112,5.0,0.4297193065972824,-104.36535625589578
Climate,12,SeasonalNaive,2.8607255490626207,1.3456327945334337,1.6913679520029403,0.0,0.0,0.0,6.0,0.4297193065972824,-565.7195767430553
Climate,24,ARRidge,0.8719177844350345,0.7136630633803566,0.9337653797582316,0.0,0.0,0.0,1.0,0.8942608691841094,2.4984974204965353
Climate,24,DLinear-U,0.8845927317937216,0.7201487223307291,0.9405277967453004,0.0008793849968134,0.0010298473108829,0.0004675066403785,2.0,0.8942608691841094,1.0811316611906217
Climate,24,Last,0.8942608691841094,0.6872761600801214,0.9456536729607248,0.0,0.0,0.0,3.0,0.8942608691841094,0.0
Climate,24,DLinear-M,0.91097362836202,0.7302828033765157,0.9543684720993042,0.0291753953920016,0.0090272352908799,0.0152221471273637,4.0,0.8942608691841094,-1.8688908073500634
Climate,24,PatchTST,1.4447766939798992,0.878061830997467,1.2016632954279582,0.0820595127754801,0.023624886402805,0.0342486544208478,5.0,0.8942608691841094,-61.56098782428667
Climate,24,SeasonalNaive,2.928395388925612,1.3601386377095743,1.71125550077293,0.0,0.0,0.0,6.0,0.8942608691841094,-227.46545105986482
Economy,3,DLinear-M,0.1043770437439282,0.2461272925138473,0.3230697115262349,0.0013741235741,0.0017650259354889,0.0021233286593772,1.0,0.2077389684988562,49.75567439360667
Economy,3,DLinear-U,0.1078843971093495,0.2622566819190979,0.3284567097822825,0.000616804879712,0.0012168110609072,0.0009391225386688,2.0,0.2077389684988562,48.067328008349335
Economy,3,PatchTST,0.1123506377140681,0.2680575648943583,0.3351596097151438,0.0035495340458031,0.0037363830446547,0.0052925325284464,3.0,0.2077389684988562,45.91739887517218
Economy,3,ARRidge,0.113241625381277,0.2750511894149747,0.3365139304416342,0.0,0.0,0.0,4.0,0.2077389684988562,45.48850117068888
Economy,3,Last,0.2077389684988562,0.3695852317316309,0.4557839054846673,0.0,0.0,0.0,5.0,0.2077389684988562,0.0
Economy,3,SeasonalNaive,0.2516499464937878,0.3921547200002729,0.5016472331168466,0.0,0.0,0.0,6.0,0.2077389684988562,-21.137573904519204
Economy,6,DLinear-M,0.1343697359164556,0.2804873784383138,0.3664982716242472,0.0063089871143376,0.0077105115308311,0.0085513884363398,1.0,0.2587072467170746,48.06108540770643
Economy,6,DLinear-U,0.1447718540827433,0.2952779134114583,0.3804703255494435,0.0035145397263966,0.0065084896141829,0.0046131333921115,2.0,0.2587072467170746,44.04027876301914
Economy,6,ARRidge,0.148848330361769,0.3056902896510504,0.385808670666911,0.0,0.0,0.0,3.0,0.2587072467170746,42.46456863863913
Economy,6,PatchTST,0.1519059042135874,0.3059676885604858,0.3897187213102976,0.0048027932290058,0.0077819273733828,0.0061514371228277,4.0,0.2587072467170746,41.282702304928655
Economy,6,SeasonalNaive,0.2587072467170746,0.3988938414048472,0.5086327228138932,0.0,0.0,0.0,5.0,0.2587072467170746,0.0
Economy,6,Last,0.2827164989976418,0.4258613654662608,0.5317109167561277,0.0,0.0,0.0,6.0,0.2587072467170746,-9.280471492483537
Economy,12,DLinear-M,0.1790212243795395,0.3236431976159413,0.4230614205201466,0.0065714002245604,0.0078659957958837,0.0077714721386113,1.0,0.2728009961038822,34.376623642763946
