iteration,seed,status,loss,error
0,2026000,ok,0.24590274672148,
1,2026001,ok,0.24754155919456614,
2,2026002,ok,0.24706948129783793,
3,2026003,ok,0.27944695804228015,
4,2026004,ok,0.497982452446611,
5,2026005,ok,0.24476822065670956,
6,2026006,ok,0.25019245009355484,
7,2026007,ok,0.28888032408908887,
8,2026008,ok,0.29114155184880414,
9,2026009,ok,0.25298185969659787,
10,2026010,ok,0.24867030003519497,
11,2026011,ok,0.2522494991249317,
12,2026012,ok,0.3060595611318643,
13,2026013,ok,0.2423479244117556,
14,2026014,ok,0.24812547181226435,
15,2026015,ok,0.2945947584997324,
16,2026016,ok,0.2596529047087448,
17,2026017,ok,0.25475715650204483,
18,2026018,ok,0.3502651413981934,
19,2026019,ok,0.5866853241838205,
20,2026020,ok,0.2558202709556297,
21,2026021,ok,0.27737086758583074,
22,2026022,ok,0.24989091863170348,
23,2026023,ok,0.23783306329201048,
24,2026024,ok,0.2901290169902172,
25,2026025,ok,0.24961406487836754,
26,2026026,ok,0.6714306455878092,
27,2026027,ok,0.2798426136317262,
28,2026028,ok,0.2476366305999627,
29,2026029,ok,0.2576851451770678,
30,2026030,ok,0.26282735667606,
31,2026031,ok,0.23777862387718612,
32,2026032,ok,0.2448285112120245,
33,2026033,ok,0.2552650884707005,
34,2026034,ok,0.23968515010373734,
35,2026035,ok,0.24752023649629934,
36,2026036,ok,0.24052140015123133,
37,2026037,ok,0.25016196872311675,
38,2026038,ok,0.25282920302084183,
39,2026039,ok,0.24808937919761084,
40,2026040,ok,0.2810615794855896,
41,2026041,ok,0.25867849402616,
42,2026042,ok,0.24944623640078914,
43,2026043,ok,0.2515306941079467,
44,2026044,ok,0.25188000787391357,
45,2026045,ok,0.2577293789611903,
46,2026046,ok,0.24685520596904278,
47,2026047,ok,0.32883015019999146,
48,2026048,ok,0.253939141070851,
49,2026049,ok,0.3105117851081745,
50,2026050,ok,0.24856332870053913,
51,2026051,ok,0.323231280731413,
52,2026052,ok,0.32579295726391894,
53,2026053,ok,0.25241791565104427,
54,2026054,ok,0.25447243594094765,
55,2026055,ok,0.2579684783282492,
56,2026056,ok,0.24898058072724194,
57,2026057,ok,0.65798710494064,
58,2026058,ok,0.25205194993299634,
59,2026059,ok,0.25335440015690824,
60,2026060,ok,0.4872245474532699,
61,2026061,ok,0.2784391313990009,
62,2026062,ok,0.24696191855782504,
63,2026063,ok,0.24377743774450344,
64,2026064,ok,0.2759424356168759,
65,2026065,ok,0.25547069076661655,
66,2026066,ok,0.7095977536824943,
67,2026067,ok,0.581311967782042,
68,2026068,ok,0.2550323195701014,
69,2026069,ok,0.9385490900636757,
70,2026070,ok,0.2664676200791366,
71,2026071,ok,0.25723266471381845,
72,2026072,ok,0.2517786637255686,
73,2026073,ok,0.24931595689534253,
74,2026074,ok,0.24647881126970514,
75,2026075,ok,0.262624239552144,
76,2026076,ok,0.2510057237548164,
77,2026077,ok,0.2477308811488945,
78,2026078,ok,0.24749345529114242,
79,2026079,ok,0.26513850325632593,
80,2026080,ok,0.6591645437375168,
81,2026081,ok,0.24556971061272886,
82,2026082,ok,0.25164496747645887,
83,2026083,ok,0.2854469642795622,
84,2026084,ok,0.2524674653666312,
