candidate,branches,n_features,n_parameters,alpha_by_group,test_mse,last_anchor_mse,gain_vs_last_pct,n_origins,wall_seconds,s_contribution_abs_mean,q_contribution_abs_mean
N,N,52,208,"{""N"": 1000.0}",13.845237,13.539373,-2.259,252,0.004,0.0,0.0
N+Q,N+Q,60,240,"{""N"": 1000.0, ""Q"": 10000.0}",13.852598,13.539373,-2.313,252,0.008,0.0,0.013989
N+S,N+S,76,304,"{""N"": 1000.0, ""S"": 10000.0}",13.7824,13.539373,-1.795,252,0.105,0.04443,0.0
N+S+Q,N+S+Q,84,336,"{""N"": 1000.0, ""S"": 10000.0, ""Q"": 10000.0}",13.786758,13.539373,-1.827,252,0.111,0.043214,0.012452
N+S+Q+F,N+S+Q+F,94,376,"{""N"": 10000.0, ""S"": 10000.0, ""Q"": 1000.0, ""F"": 10000.0}",12.979993,13.539373,4.132,252,0.121,0.029446,0.057139
N+F,N+F,62,248,"{""N"": 1000.0, ""F"": 10000.0}",13.80226,13.539373,-1.942,252,0.01,0.0,0.0
