domain,horizon,fold,variant,mse,mae,rmse,fallback,selected_path,improvement_vs_fallback_pct,delta,ci_low,ci_high,matched_delta,matched_ci_low,matched_ci_high,matched_control_alpha,circular_p_value,alpha,decision_mse,p_value,segment_wins,eligible,test_windows,calibration_windows,decision_windows,block_length,power_nonoverlapping_blocks,approx_mde,approx_mde_pct,bootstrap_seed
Agriculture,12,1,semantic_residual,0.1922990431534963,0.3596261904232453,0.4385191479895676,AR-Ridge,frequency_residual,15.783116642350905,0.0360388333941882,0.0230995157628287,0.0875443513350947,0.0212600656516236,0.0123523421197487,0.0547916633753073,1.0,0.149,100.0,0.1560163155108845,0.044,True,False,42,43,95,12,7,0.0976113756743213,49.02173109434363,9120
Agriculture,12,1,frequency_residual,0.1074424180670269,0.2612258884935104,0.3277841028284118,AR-Ridge,frequency_residual,52.94586264377854,0.1208954584806576,0.0849379939592714,0.216503348474937,0.0016336281470729,-0.0005886336028194,0.0037490030681351,10000.0,0.06,10000.0,0.1674406472331147,0.021,True,True,42,43,95,12,7,0.0040951410355603,2.422816581479676,9121
Agriculture,12,2,semantic_residual,0.0407939892153519,0.161450403263747,0.2019752193100725,Last,numeric_fallback,-32.54857856925908,-0.0100173564851591,-0.0152573707734904,-0.0035994994577439,0.0008681029795827,-4.557524924875997e-05,0.0018505743856893,1000.0,0.483,1000.0,0.1203908018812096,0.471,False,False,42,42,95,12,7,0.0022220661635538,1.818256626832331,9220
Agriculture,12,2,frequency_residual,0.0522166516645515,0.1865944413750667,0.2285096314481111,Last,numeric_fallback,-69.6633030725466,-0.0214400189343587,-0.0281146179305397,-0.0113620754785553,-0.0039663030958245,-0.0049603624781786,-5.204041466175982e-05,1000.0,0.389,1000.0,0.1096491244252451,0.472,False,False,42,42,95,12,7,0.0195956288187651,16.711462573082535,9221
Agriculture,12,3,semantic_residual,0.652058680356663,0.6364168465696363,0.8075015048634046,PatchTST,numeric_fallback,-22.78238591320349,-0.1209900946577241,-0.1619788600267639,-0.0593903119351839,-0.0852105885909757,-0.1403939101530329,-0.0353063184263451,100.0,0.143,100.0,0.0682338867747606,0.267,True,False,43,42,95,12,7,0.0076813623509498,10.957746529740684,9320
Agriculture,12,3,frequency_residual,0.5112606190838983,0.5343359052057559,0.7150249080164259,PatchTST,numeric_fallback,3.729832106143383,0.0198079666150405,0.0115277688059841,0.0504954231859157,-0.0048559795107278,-0.027344423852065,0.004315655657097,1000.0,0.313,1000.0,0.0564234873007287,0.291,True,False,43,42,95,12,7,0.0045327132414505,8.051430743266671,9321
Agriculture,1,1,semantic_residual,0.0318783830355093,0.1461563943951977,0.1785451848566894,PatchTST,numeric_fallback,18.75617550370511,0.0073595322560869,0.0032541469185382,0.0118764238346358,-0.0002062418825932,-0.0011071782164161,0.0004532990160174,100.0,0.019,100.0,0.0404731251269642,0.067,True,False,53,54,106,12,8,0.0021792356769971,5.265448614801604,9010
Agriculture,1,1,frequency_residual,0.0302707694287696,0.1383914775746413,0.1739849689736722,PatchTST,numeric_fallback,22.853267805354538,0.0089671458628266,0.0046089063673414,0.0153323955733174,-2.6645870039664062e-05,-0.0001358986098972,0.0001352652668228,10000.0,0.376,10000.0,0.0406734596632341,0.394,True,False,53,54,106,12,8,0.0003008407108363,0.7396591488798242,9011
Agriculture,1,2,semantic_residual,0.0155349596689061,0.092958300538172,0.1246393183105,Last,numeric_fallback,-0.0955306311334114,-1.482648118697398e-05,-0.0001279067948975,6.689852148446199e-05,-1.6142867971368375e-05,-4.441158905055517e-05,2.1570696500438523e-05,1000.0,0.197,1000.0,0.0309897744659611,0.306,False,False,53,53,106,12,8,0.0002607146484797,0.8355963316171697,9110
Agriculture,1,2,frequency_residual,0.0156345225404967,0.0929558068689817,0.1250380843603132,Last,numeric_fallback,-0.7370384737944269,-0.0001143893527776,-0.0005331599730817,0.0003267606941775,-0.0001566637018541,-0.0005411634964022,0.0003329063284403,1000.0,0.694,1000.0,0.0317756516255593,0.694,False,False,53,53,106,12,8,0.0007809617238513,2.501530332901623,9111
