origin_index,fallback_mse,selected_mse,delta
372,0.050581256450529,0.036435144983763205,0.014146111466765796
373,0.08386803834564958,0.04252942355297079,0.04133861479267879
374,0.1106468346277667,0.05008531382240198,0.06056152080536472
375,0.18180101601200405,0.08476635931389988,0.09703465669810417
376,0.25477065451981723,0.17817936789240177,0.07659128662741546
377,0.37579661261214276,0.40858384029345557,-0.032787227681312814
378,0.4552334315655706,0.2257738515266927,0.22945958003887792
379,0.5519611008215309,0.3679700171948945,0.1839910836266364
380,0.5573190676910521,0.22961961345870074,0.32769945423235136
381,0.5919970895301596,0.36383838212384095,0.22815870740631866
382,0.5426405811255615,0.19335922783727755,0.3492813532882839
383,0.5979510069161739,0.29607912969494166,0.3018718772212322
384,0.6839457779917025,0.3690667559301996,0.3148790220615029
385,0.5777300218981155,0.14555323282871183,0.4321767890694037
386,0.6160940481309854,0.30892691032865277,0.3071671378023327
387,0.44028671159315885,0.06353525379667997,0.3767514577964789
388,0.38733450249035134,0.09021852954945801,0.2971159729408933
389,0.44037687998087943,0.17268029905626922,0.26769658092461024
390,0.4680943398740071,0.10784026093783068,0.36025407893617645
391,0.49984197569721905,0.13776715099190492,0.36207482470531416
392,0.585637020702911,0.2309050231710447,0.35473199753186635
393,0.767901395657169,0.5443727602718694,0.22352863538529955
394,0.9190149454849766,0.5382654581960081,0.3807494872889685
395,0.8161301278666578,0.21385346331340835,0.6022766645532495
396,0.7139303682231306,0.13577730896977144,0.5781530592533591
397,0.7051452900891167,0.23319303044076364,0.4719522596483531
398,0.6786879834478462,0.20954010886581,0.4691478745820362
399,0.7546998946911838,0.4233552427564727,0.33134465193471113
400,0.7092146803154753,0.32002567874618165,0.38918900156929365
401,0.554280924213488,0.14692350392535883,0.40735742028812916
402,0.3782664553731642,0.031361342079684794,0.34690511329347945
403,0.3044671159638395,0.05377096762864098,0.25069614833519854
404,0.22624598030675855,0.019884890463298794,0.20636108984345974
405,0.17856766087978845,0.02391473690299813,0.1546529239767903
406,0.1527737098284595,0.045272090182347596,0.1075016196461119
407,0.21836826877054683,0.13680280870885964,0.08156546006168719
408,0.2292354860934187,0.09545960406818328,0.13377588202523544
409,0.2585278964195769,0.16581267547460002,0.09271522094497689
410,0.24338758078879194,0.09810434078780629,0.14528324000098564
411,0.2644393716568488,0.1128209778184641,0.15161839383838466
412,0.3102448741994412,0.18992948347186453,0.12031539072757666
413,0.2794650049135439,0.1115033169845222,0.16796168792902172
