dataset,horizon,best_model,best_mse,best_mse_std,best_non_patch_model,best_non_patch_mse,patchtst_gain_vs_best_non_patch_pct
ETTh1,96,PatchTST-M,0.0555229075253009,0.0002502933290181,ARRidge,0.0596552383836453,6.9270209462062855
ETTh1,336,PatchTST-M,0.0850906297564506,0.000936650408377,ARRidge,0.097092886880268,12.361623502469566
ETTh1,720,PatchTST-M,0.0905016337831815,0.0013668774288076,SeasonalNaive24,0.1252256631851196,27.729163909961475
ETTh2,96,PatchTST-M,0.1276406198740005,0.0008511338968779,ARRidge,0.1287497383696405,0.8614530092913353
ETTh2,336,PatchTST-M,0.2151416838169098,0.0011130379017703,ARRidge,0.2316580589765507,7.129635477655782
ETTh2,720,PatchTST-M,0.2381842186053594,0.0039051351265191,SeasonalNaive24,0.30196213722229,21.121164131243496
