domain,horizon,fold,variant,comparison,control,candidate,control_mse,candidate_mse,gain_pct,loss_delta,ci_low,ci_high,ci_low_pct,ci_high_pct,bootstrap_seed
Agriculture,12,1,frequency_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.1427822824244074,0.14332572738058158,-0.3806109182082018,-0.0005434449561741774,-0.003953213862283483,0.0010324276562674471,-2.7687005664560767,0.7230782690520728,14000
Agriculture,12,1,frequency_residual,quality_only_vs_numeric,numeric_only,quality_only,0.1427822824244074,0.14193283738109283,0.5949232838215024,0.000849445043314615,0.0004609389356339656,0.0016830797987869095,0.32282642342406764,1.1787735636443373,14001
Agriculture,12,1,frequency_residual,full_vs_quality_only,quality_only,full,0.14193283738109283,0.14248175172228777,-0.3867423151142191,-0.0005489143411949609,-0.004109844379059019,0.0010335148968837347,-2.8956261672018826,0.7281718000949451,14002
Agriculture,12,1,frequency_residual,full_vs_semantic_only,semantic_only,full,0.14332572738058158,0.14248175172228777,0.5888514739944339,0.0008439756582938316,0.0004893421010372514,0.0016311531788235102,0.34141958319727994,1.138074237357407,14003
Agriculture,12,1,frequency_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.2134907311076874,0.14248175172228777,33.260919112025434,0.0710089793853997,0.06327205814830464,0.10067326316960659,29.63691108275301,47.15580046368652,14004
Agriculture,6,1,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.08280962504642476,0.08280881165600268,0.0009822414020477233,8.133904220960158e-07,-1.1583733550117856e-06,2.8719462080385196e-06,-0.0013988390291133162,0.003468130916458622,14100
Agriculture,6,1,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.08280962504642476,0.08247807188562255,0.40037998072849357,0.0003315531608022104,2.094023750563128e-06,0.0008344161211785075,0.002528720241625506,1.0076318069435972,14101
Agriculture,6,1,semantic_residual,full_vs_quality_only,quality_only,full,0.08247807188562255,0.082477272765752,0.0009688876719371464,7.991198705713152e-07,-1.1448172403531173e-06,2.9510444562545416e-06,-0.001388026191907961,0.003577974592261247,14102
Agriculture,6,1,semantic_residual,full_vs_semantic_only,semantic_only,full,0.08280881165600268,0.082477272765752,0.4003666803334083,0.0003315388902506858,-3.796812139278001e-06,0.0008323332518920684,-0.004585033963596042,1.0051264294791191,14103
Agriculture,6,1,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.08685883762034871,0.082477272765752,5.044466371687006,0.004381564854596731,0.003189802859057321,0.007501376645748731,3.6723987408162544,8.63628486318974,14104
Climate,12,3,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.4626679202293854,0.46261590739077374,0.011241937540407143,5.201283861172311e-05,3.2471795465791186e-05,9.980276265468047e-05,0.007018380580545123,0.021571143857391152,14200
Climate,12,3,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.4626679202293854,0.4606348489298724,0.43942344187274385,0.002033071299513045,-0.0012569318469935972,0.008010426536682248,-0.2716704124138161,1.731355511467225,14201
Climate,12,3,semantic_residual,full_vs_quality_only,quality_only,full,0.4606348489298724,0.46058412107034635,0.011012596993886792,5.072785952601821e-05,3.1974453342818664e-05,9.523978154769745e-05,0.006941388263849419,0.020675765580688156,14202
Climate,12,3,semantic_residual,full_vs_semantic_only,semantic_only,full,0.46261590739077374,0.46058412107034635,0.43919508343043256,0.0020317863204273407,-0.0012955406332993426,0.008305183653765395,-0.28004671101916817,1.7952654720863217,14203
Climate,12,3,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.46730232484006645,0.46058412107034635,1.4376568257004507,0.006718203769720045,0.000526832535454013,0.018084158108208535,0.11273912143157444,3.869905443846831,14204
Climate,24,2,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,1.3577213926069858,1.357768658597117,-0.0034812731381173023,-4.726599013137758e-05,-0.000192079739462192,9.381465291328009e-05,-0.014147213154929832,0.006909713099028723,14300
Climate,24,2,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,1.3577213926069858,1.349295538227852,0.6205878779706908,0.00842585437913385,-0.009170941575253565,0.03654718386302213,-0.6754656459853131,2.6918029031602138,14301
Climate,24,2,semantic_residual,full_vs_quality_only,quality_only,full,1.349295538227852,1.349347733100821,-0.003868305459420185,-5.219487296917202e-05,-0.00019349512000904005,8.560072123105483e-05,-0.014340455039462604,0.006344104668387309,14302
Climate,24,2,semantic_residual,full_vs_semantic_only,semantic_only,full,1.357768658597117,1.349347733100821,0.6202032609146091,0.008420925496296057,-0.009081953862943675,0.035425121276952944,-0.668888164816486,2.6090690083799055,14303
Climate,24,2,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,1.391609930507048,1.349347733100821,3.0369284150500553,0.04226219740622682,0.013419891457760302,0.08896427155855409,0.9643428926143565,6.392902896729043,14304
Climate,24,3,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.9520659757199602,0.9520013437071353,0.006788606511853867,6.463201282510585e-05,4.437771046061852e-05,0.0001265013437737672,0.004661201176426846,0.013287035457611627,14400
Climate,24,3,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.9520659757199602,0.9452792614761486,0.7128407502095091,0.00678671424381174,0.003041004205156084,0.013445190247992681,0.31941107892826975,1.4122120305607306,14401
Climate,24,3,semantic_residual,full_vs_quality_only,quality_only,full,0.9452792614761486,0.9452178568942715,0.006495919711724252,6.140458187718376e-05,4.4555457900937703e-05,0.00012221105340169328,0.004713470369736015,0.012928566020886614,14402
Climate,24,3,semantic_residual,full_vs_semantic_only,semantic_only,full,0.9520013437071353,0.9452178568942715,0.712550130071099,0.006783486812863817,0.0028881733599805614,0.013269350915547255,0.30337912641319253,1.393837414543536,14403
Climate,24,3,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.9520552822879939,0.9452178568942715,0.7181752489509363,0.00683742539372234,-0.013648143563378085,0.024566216397334997,-1.433545280120568,2.5803350765826423,14404
Climate,4,3,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.14055173645467742,0.1405410152442327,0.007627945918808887,1.0721210444678115e-05,4.397109311166007e-06,2.2546107872787567e-05,0.0031284631709860853,0.016041145019974782,14500
Climate,4,3,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.14055173645467742,0.14059847896607613,-0.03325644533305194,-4.6742511398711356e-05,-0.0009182877439792745,0.0017143869818167846,-0.6533450010241513,1.2197551058855889,14501
Climate,4,3,semantic_residual,full_vs_quality_only,quality_only,full,0.14059847896607613,0.1405882629844827,0.007266068359024214,1.0215981593438633e-05,3.79440208382034e-06,2.1601564489827927e-05,0.002698750450021483,0.015364010086510248,14502
Climate,4,3,semantic_residual,full_vs_semantic_only,semantic_only,full,0.1405410152442327,0.1405882629844827,-0.03361847085556757,-4.7247740249950886e-05,-0.0009202195273600751,0.0016878068486440654,-0.6547693751613464,1.2009354320594512,14503
Climate,4,3,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.1400859013089262,0.1405882629844827,-0.3586097322161308,-0.0005023616755564667,-0.00109214767309997,0.001350021639162195,-0.7796271165729216,0.9637098569862806,14504
Environment,1,1,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.2112154481712514,0.2112751152537049,-0.02824939320020814,-5.9667082453509864e-05,-0.0001381972012185839,1.2319896360115844e-05,-0.0654294950559369,0.0058328576185047755,14600
Environment,1,1,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.2112154481712514,0.20939742366112668,0.8607441008058658,0.0018180245101247258,-0.0009916171025602988,0.0045253855081505085,-0.46948133346586723,2.142544755761127,14601
Environment,1,1,semantic_residual,full_vs_quality_only,quality_only,full,0.20939742366112668,0.20940312734168906,-0.002723854220665345,-5.703680562356492e-06,-1.417656455031665e-05,2.1071768195929317e-06,-0.006770171429262164,0.0010063050360175545,14602
Environment,1,1,semantic_residual,full_vs_semantic_only,semantic_only,full,0.2112751152537049,0.20940312734168906,0.8860427834901041,0.0018719879120158796,-0.0009749556020095242,0.0044800245960609835,-0.46146258201718215,2.1204696022440923,14603
Environment,1,1,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.21094046276367523,0.20940312734168906,0.7288006302083927,0.0015373354219861885,0.00034866318526009007,0.0027449493666743953,0.16528985510509236,1.3012910518498617,14604
Environment,1,2,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.19268646677438409,0.19268428067492122,0.0011345371055182518,2.1860994628534925e-06,-1.925263626130004e-06,6.016392593901938e-06,-0.0009991690949340455,0.003122374235522472,14700
Environment,1,2,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.19268646677438409,0.19154401378055394,0.5929077495451907,0.0011424529938301158,0.0004602078900642531,0.0018176446555786014,0.23883768163288235,0.9433172375862157,14701
Environment,1,2,semantic_residual,full_vs_quality_only,quality_only,full,0.19154401378055394,0.19154172642454811,0.00119416731469979,2.2873560058641535e-06,-2.034489525697309e-06,6.2928861910061045e-06,-0.0010621524972470092,0.003285347355316293,14702
Environment,1,2,semantic_residual,full_vs_semantic_only,semantic_only,full,0.19268428067492122,0.19154172642454811,0.5929670268747578,0.0011425542503731264,0.00046998156176984485,0.0018011162137274881,0.2439127676236099,0.9347499481632141,14703
Environment,1,2,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.19268216180972256,0.19154172642454811,0.5918738789637668,0.0011404353851744622,0.0002570330176182124,0.001945167821313242,0.13339741219638046,1.009521485042364,14704
Environment,1,3,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.171274178386044,0.17126851921536732,0.0033041587062410116,5.659170676676884e-06,-1.4190765344442382e-06,1.2989629724105449e-05,-0.0008285408505920291,0.007584114457012563,14800
Environment,1,3,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.171274178386044,0.17049615741397756,0.45425468065175556,0.0007780209720664455,-0.0002505259061525819,0.001827197717613933,-0.14627184816377176,1.0668261467268665,14801
Environment,1,3,semantic_residual,full_vs_quality_only,quality_only,full,0.17049615741397756,0.1704910486273645,0.0029964233156598574,5.108786613042294e-06,-1.8701983317938864e-06,1.2186455320508973e-05,-0.0010969152385369623,0.0071476422139645866,14802
Environment,1,3,semantic_residual,full_vs_semantic_only,semantic_only,full,0.17126851921536732,0.1704910486273645,0.4539483330413763,0.0007774705880028109,-0.00025386290845750854,0.001856690499581131,-0.1482250851589837,1.0840815977665887,14803
Environment,1,3,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.17127108293352789,0.1704910486273645,0.45543841540730545,0.0007800343061633494,-0.0003466556656834512,0.0019231511892323343,-0.2024017480043563,1.122869754947909,14804
Environment,7,3,semantic_residual,semantic_only_vs_numeric,numeric_only,semantic_only,0.22905871843868694,0.22903851326649302,0.008820957495814241,2.020517219391168e-05,4.199541737580547e-06,3.696080506925698e-05,0.001833390916619773,0.016135952091756084,14900
Environment,7,3,semantic_residual,quality_only_vs_numeric,numeric_only,quality_only,0.22905871843868694,0.22845590736071414,0.26316879884847877,0.0006028110779727898,-4.4725143874809855e-05,0.0012499327201618774,-0.019525623901009297,0.5456822288545423,14901
Environment,7,3,semantic_residual,full_vs_quality_only,quality_only,full,0.22845590736071414,0.2284391311432443,0.0073433064890493505,1.677621746984932e-05,1.365883802185443e-06,3.2168493744018524e-05,0.0005978763333218688,0.01408083254035842,14902
Environment,7,3,semantic_residual,full_vs_semantic_only,semantic_only,full,0.22903851326649302,0.2284391311432443,0.2616949065467167,0.0005993821232487276,-9.568133848210448e-05,0.0012620862555323493,-0.041775218113984366,0.5510366957647315,14903
Environment,7,3,semantic_residual,full_vs_dimension_matched_numeric,dimension_matched_numeric,full,0.2291773217750509,0.2284391311432443,0.32210457216669264,0.0007381906318066251,-6.907296128867247e-06,0.0015061421176088897,-0.0030139527224456817,0.6571950950222047,14904
