domain,horizon,fold,variant,block_length,is_primary,gain_pct,ci_low_pct,ci_high_pct,loss_delta,bootstrap_seed
Agriculture,12,1,frequency_residual,12,True,52.94586264377854,37.39145878556239,93.92067335285009,0.12089545848065766,15012
Agriculture,12,1,frequency_residual,24,False,52.94586264377854,54.47866769288389,90.53793200811148,0.12089545848065766,15024
Agriculture,6,1,semantic_residual,6,False,23.194220515918673,2.355194007480567,46.420293722702624,0.026941372114085593,15106
Agriculture,6,1,semantic_residual,12,True,23.194220515918673,6.9144875057284585,43.868611583938986,0.026941372114085593,15112
Agriculture,6,1,semantic_residual,24,False,23.194220515918673,16.528006686175253,45.77863481144687,0.026941372114085593,15124
Climate,12,3,semantic_residual,12,False,1.3144589410252872,-3.03545823965178,4.986991831227491,0.005322838229913136,15212
Climate,12,3,semantic_residual,24,True,1.3144589410252872,-3.3939815943981206,4.114886195597233,0.005322838229913136,15224
Climate,12,3,semantic_residual,48,False,1.3144589410252872,-2.8699577239588847,2.931179546904758,0.005322838229913136,15248
Climate,24,2,semantic_residual,24,True,8.968848129158735,-5.96766271096169,29.425305241401684,0.10679398384651297,15324
Climate,24,2,semantic_residual,48,False,8.968848129158735,-4.573999398402497,27.66628989404368,0.10679398384651297,15348
Climate,24,3,semantic_residual,24,True,2.303801558677143,-14.116087986177902,18.165744085893337,0.015553378883292036,15424
Climate,24,3,semantic_residual,48,False,2.303801558677143,-1.7732119657698013,15.225281626253249,0.015553378883292036,15448
Climate,4,3,semantic_residual,4,False,-3.0121042838483714,-8.958422079570195,2.8931494809594938,-0.0041304673728497126,15504
Climate,4,3,semantic_residual,24,True,-3.0121042838483714,-7.5643164887199585,0.20299811319639305,-0.0041304673728497126,15524
Climate,4,3,semantic_residual,48,False,-3.0121042838483714,-6.662538609723319,-0.7395002389727718,-0.0041304673728497126,15548
Environment,1,1,semantic_residual,2,False,1.4563686487941263,0.00742689094205122,2.870945762350058,0.003099834971942389,15602
Environment,1,1,semantic_residual,7,True,1.4563686487941263,0.0037663322731815193,2.97957172785949,0.003099834971942389,15607
Environment,1,1,semantic_residual,14,False,1.4563686487941263,-0.05172122347723125,3.0157857914912087,0.003099834971942389,15614
Environment,1,2,semantic_residual,2,False,-0.07683296697915676,-1.5735141198624296,1.4300667948663732,-0.00014859387003140587,15702
Environment,1,2,semantic_residual,7,True,-0.07683296697915676,-1.5280649735926846,1.4251448247409053,-0.00014859387003140587,15707
Environment,1,2,semantic_residual,14,False,-0.07683296697915676,-1.498586832503173,1.4290670187355643,-0.00014859387003140587,15714
Environment,1,3,semantic_residual,2,False,1.7531494299987571,0.3771252824738487,3.214484170068497,0.0030353685828484155,15802
Environment,1,3,semantic_residual,7,True,1.7531494299987571,0.4978941289486573,3.104296949061487,0.0030353685828484155,15807
Environment,1,3,semantic_residual,14,False,1.7531494299987571,0.514094306526235,3.0293808456844524,0.0030353685828484155,15814
Environment,7,3,semantic_residual,7,True,3.263340584816843,1.732458741095157,4.729977506371766,0.007720519529972678,15907
Environment,7,3,semantic_residual,14,False,3.263340584816843,1.7116135013747795,4.821754680857011,0.007720519529972678,15914
