iteration,seed,status,loss,error
0,2026000,ok,0.22116812099963795,
1,2026001,ok,0.2629015412216234,
2,2026002,ok,0.21067291111156292,
3,2026003,ok,0.23360864063658418,
4,2026004,ok,0.20821951441389308,
5,2026005,ok,0.186984711993914,
6,2026006,ok,0.15508818677529784,
7,2026007,ok,0.2310853753372677,
8,2026008,ok,0.24618407560864883,
9,2026009,ok,0.1537383613712218,
10,2026010,ok,0.2073849074007017,
11,2026011,ok,0.17803679872015585,
12,2026012,ok,0.23862085828393031,
13,2026013,ok,0.1840245639255171,
14,2026014,ok,0.15620689391161996,
15,2026015,ok,0.1709765031116375,
16,2026016,ok,0.2028515316784616,
17,2026017,ok,0.19553787196398703,
18,2026018,ok,0.19627060167929927,
19,2026019,ok,0.19831481153320232,
20,2026020,ok,0.17585866212446372,
21,2026021,ok,0.20240952631055686,
22,2026022,ok,0.2310241732716838,
23,2026023,ok,0.2067744395334413,
24,2026024,ok,0.16809529742315266,
25,2026025,ok,0.2547089827466201,
26,2026026,ok,0.2077936870989788,
27,2026027,ok,0.21780214920757013,
28,2026028,ok,0.1520651612040734,
29,2026029,ok,0.17205847533352908,
30,2026030,ok,0.24754499817745165,
31,2026031,ok,0.2273902108720491,
32,2026032,ok,0.1537269840012378,
33,2026033,ok,0.21159345722433806,
34,2026034,ok,0.1765239160228344,
35,2026035,ok,0.19214418192541916,
36,2026036,ok,0.1681911250736448,
37,2026037,ok,0.16999963275682606,
38,2026038,ok,0.18925223193364119,
39,2026039,ok,0.1779600256071453,
40,2026040,ok,0.21700241390351777,
41,2026041,ok,0.19782661689232534,
42,2026042,ok,0.22056716719872121,
43,2026043,ok,0.17646805896058512,
44,2026044,ok,0.19606052703546098,
45,2026045,ok,0.17535813664568412,
46,2026046,ok,0.22766385934665107,
47,2026047,ok,0.17988742288284382,
48,2026048,ok,0.205013272992641,
49,2026049,ok,0.38375606335021206,
50,2026050,ok,0.24556370048690726,
51,2026051,ok,0.1541339688132157,
52,2026052,ok,0.22515974566754396,
53,2026053,ok,0.20595504249940666,
54,2026054,ok,0.1885662235298188,
55,2026055,ok,0.25842009582096076,
56,2026056,ok,0.1890498179022265,
57,2026057,ok,0.18337804712657255,
58,2026058,ok,0.1814056415335159,
59,2026059,ok,0.19323588436568523,
60,2026060,ok,0.18403592070634034,
61,2026061,ok,0.3152967582026966,
62,2026062,ok,0.1727803341065253,
63,2026063,ok,0.20627469793032557,
64,2026064,ok,0.16705987802369068,
65,2026065,ok,0.17599424846221826,
66,2026066,ok,0.17649904324336893,
67,2026067,ok,0.19269080442580402,
68,2026068,ok,0.2906104578726913,
69,2026069,ok,0.21700241390351777,
70,2026070,ok,0.1753033526566397,
71,2026071,ok,0.21861072707329593,
72,2026072,ok,0.23182138086477097,
73,2026073,ok,0.18471774720953776,
74,2026074,ok,0.20881804430022388,
75,2026075,ok,0.1546753367629109,
76,2026076,ok,0.21458671162751167,
77,2026077,ok,0.20892581302449054,
78,2026078,ok,0.18310112806093368,
79,2026079,ok,0.17009856279274113,
80,2026080,ok,0.18432288148069667,
81,2026081,ok,0.19913188470144852,
82,2026082,ok,0.20862620896891193,
83,2026083,ok,0.17778388752868174,
84,2026084,ok,0.23816431251466158,
85,2026085,ok,0.18476290498200865,
86,2026086,ok,0.24905912150611514,
87,2026087,ok,0.15324520536084968,
88,2026088,ok,0.15324520536084968,
89,2026089,ok,0.18521157812425665,
90,2026090,ok,0.193873029134036,
91,2026091,ok,0.205013272992641,
92,2026092,ok,0.1948383706847592,
93,2026093,ok,0.21165489019776598,
94,2026094,ok,0.17082024128141932,
95,2026095,ok,0.22262836012063544,
96,2026096,ok,0.22287589106220157,
97,2026097,ok,0.18203224577089,
98,2026098,ok,0.2510378859810295,
99,2026099,ok,0.15020982624534146,
100,2026100,ok,0.22618046933647196,
101,2026101,ok,0.18251628546436421,
102,2026102,ok,0.1763137855480103,
103,2026103,ok,0.15918922816607564,
104,2026104,ok,0.2638653424428954,
105,2026105,ok,0.1890498179022265,
106,2026106,ok,0.22979379804455635,
107,2026107,ok,0.18828880543026985,
108,2026108,ok,0.2214449261527231,
109,2026109,ok,0.20978824585307157,
110,2026110,ok,0.2632093782105498,
111,2026111,ok,0.20130246526041276,
112,2026112,ok,0.17936262836777117,
113,2026113,ok,0.20768998833027186,
114,2026114,ok,0.18432288148069667,
115,2026115,ok,0.17742691649188816,
116,2026116,ok,0.2052326001548667,
117,2026117,ok,0.20832700518365188,
118,2026118,ok,0.20967074040188252,
119,2026119,ok,0.15857500130870342,
120,2026120,ok,0.1945940492725175,
121,2026121,ok,0.27038416384328035,
122,2026122,ok,0.1714467695329273,
123,2026123,ok,0.17753019588158736,
124,2026124,ok,0.21472356876094242,
125,2026125,ok,0.18032404677020958,
126,2026126,ok,0.17291295747255048,
127,2026127,ok,0.21494316634052651,
128,2026128,ok,0.32140335958938304,
129,2026129,ok,0.22528670565097028,
130,2026130,ok,0.23343786441654366,
131,2026131,ok,0.32132756323353073,
132,2026132,ok,0.19163184563357427,
133,2026133,ok,0.16492535083751916,
134,2026134,ok,0.2180246363134811,
135,2026135,ok,0.19695167122148882,
136,2026136,ok,0.20548525024738382,
137,2026137,ok,0.17314936719048463,
138,2026138,ok,0.3125113183088674,
