iteration,seed,status,loss,error
0,2026000,ok,0.23509739305560456,
1,2026001,ok,0.26691948378884806,
2,2026002,ok,0.25379155653253127,
3,2026003,ok,0.2438082306634403,
4,2026004,ok,0.1786924300536413,
5,2026005,ok,0.21442024971672793,
6,2026006,ok,0.21466664435144858,
7,2026007,ok,0.21559194199352383,
8,2026008,ok,0.2252845794519008,
9,2026009,ok,0.16435630544188484,
10,2026010,ok,0.2853178426836552,
11,2026011,ok,0.19133524549571085,
12,2026012,ok,0.24096955370450426,
13,2026013,ok,0.18063267582349893,
14,2026014,ok,0.18422323327199663,
15,2026015,ok,0.1702951211089384,
16,2026016,ok,0.2211401424508002,
17,2026017,ok,0.1940127273879698,
18,2026018,ok,0.2196571660012796,
19,2026019,ok,0.28036821241838544,
20,2026020,ok,0.1935559458249862,
21,2026021,ok,0.1643252627590217,
22,2026022,ok,0.19912970485541517,
23,2026023,ok,0.3961343216008487,
24,2026024,ok,0.19477810083514024,
25,2026025,ok,0.1761460823670775,
26,2026026,ok,0.24203563255615435,
27,2026027,ok,0.21645722034312062,
28,2026028,ok,0.20711247364205226,
29,2026029,ok,0.17085380410525045,
30,2026030,ok,0.23667606369328203,
31,2026031,ok,0.20945172609037652,
32,2026032,ok,0.21805033822131897,
33,2026033,ok,0.16715948844473477,
34,2026034,ok,0.188743297052318,
35,2026035,ok,0.18610606648799974,
36,2026036,ok,0.17016111654245453,
37,2026037,ok,0.23249630213112543,
38,2026038,ok,0.20209828890819798,
39,2026039,ok,0.30082343893869945,
40,2026040,ok,0.1715085050351761,
41,2026041,ok,0.23195962053337157,
42,2026042,ok,0.20799264702959305,
43,2026043,ok,0.202465419733177,
44,2026044,ok,0.1931959118006203,
45,2026045,ok,0.1671544341175705,
46,2026046,ok,0.28293696254639716,
47,2026047,ok,0.3829064802131146,
48,2026048,ok,0.16182497050027972,
49,2026049,ok,0.32684750599019075,
50,2026050,ok,0.22615302602451165,
51,2026051,ok,0.17402295432831008,
52,2026052,ok,0.27962357796789683,
53,2026053,ok,0.25650358587962363,
54,2026054,ok,0.18647052247329512,
55,2026055,ok,0.17442088317933538,
56,2026056,ok,0.19918124756841873,
57,2026057,ok,0.26980076356787697,
58,2026058,ok,0.1932730150216496,
59,2026059,ok,0.1794563410049549,
60,2026060,ok,0.2648796537847225,
61,2026061,ok,0.22124140784115556,
62,2026062,ok,0.1776494734292634,
63,2026063,ok,0.2458338272863061,
64,2026064,ok,0.20898398024298528,
65,2026065,ok,0.21873565749233176,
66,2026066,ok,0.29174420782363236,
67,2026067,ok,0.1456942987058097,
68,2026068,ok,0.27635791569584817,
69,2026069,ok,0.1715085050351761,
70,2026070,ok,0.21088288087829007,
71,2026071,ok,0.2478357955284315,
72,2026072,ok,0.22088399375633455,
73,2026073,ok,0.17846222362166345,
74,2026074,ok,0.2599762638542892,
75,2026075,ok,0.24547037374609457,
76,2026076,ok,0.1838448425891633,
77,2026077,ok,0.25851741154048063,
78,2026078,ok,0.21311152213369777,
79,2026079,ok,0.17159691306496647,
80,2026080,ok,0.2000708492388362,
81,2026081,ok,0.43282172040816924,
82,2026082,ok,0.24141916821463752,
83,2026083,ok,0.15642118739212238,
84,2026084,ok,0.2141472176678822,
85,2026085,ok,0.19591018400410884,
86,2026086,ok,0.23407488976587323,
87,2026087,ok,0.23698699528972836,
88,2026088,ok,0.23698699528972836,
89,2026089,ok,0.17141929144562737,
90,2026090,ok,0.25838541590883873,
91,2026091,ok,0.16182497050027972,
92,2026092,ok,0.272821798035938,
93,2026093,ok,0.2768765622635529,
94,2026094,ok,0.1625091552364677,
95,2026095,ok,0.24142290783731735,
96,2026096,ok,0.2243006433159004,
97,2026097,ok,0.29395110797822793,
98,2026098,ok,0.21840114963400065,
99,2026099,ok,0.26362109035885295,
100,2026100,ok,0.23877289062255652,
101,2026101,ok,0.21166902750725694,
102,2026102,ok,0.1720499787912742,
103,2026103,ok,0.23747414559306412,
104,2026104,ok,0.29104553093430474,
105,2026105,ok,0.19918124756841873,
106,2026106,ok,0.24441262080507972,
107,2026107,ok,0.22838127853461776,
108,2026108,ok,0.2755434223042291,
109,2026109,ok,0.1919228041484914,
110,2026110,ok,0.26649750008723877,
111,2026111,ok,0.2188702942281969,
112,2026112,ok,0.21635587505976267,
113,2026113,ok,0.15774236807330258,
114,2026114,ok,0.2000708492388362,
115,2026115,ok,0.1942425512750337,
116,2026116,ok,0.23669566988003027,
117,2026117,ok,0.20634408986910963,
118,2026118,ok,0.21978061040735264,
119,2026119,ok,0.2228228668520933,
120,2026120,ok,0.2767408071185152,
121,2026121,ok,0.24723438749387106,
122,2026122,ok,0.1520909289928979,
123,2026123,ok,0.22421814964902342,
124,2026124,ok,0.21589553878495799,
125,2026125,ok,0.16840382503298645,
126,2026126,ok,0.15446049113914695,
127,2026127,ok,0.19083855504856337,
128,2026128,ok,0.17269524447154969,
129,2026129,ok,0.22441171520459854,
130,2026130,ok,0.22434587440270617,
131,2026131,ok,0.22239147032073595,
132,2026132,ok,0.19077978834177406,
133,2026133,ok,0.16464155914406808,
134,2026134,ok,0.20254064781495804,
135,2026135,ok,0.2793229384293513,
136,2026136,ok,0.2622325518502287,
137,2026137,ok,0.17277152629839324,
138,2026138,ok,0.3094654126761958,
139,2026139,ok,0.2993312830724603,
140,2026140,ok,0.18425193182589802,
141,2026141,ok,0.17422697318988054,
142,2026142,ok,0.25343920365743894,
143,2026143,ok,0.18152721477367384,
144,2026144,ok,0.16346937139046264,
145,2026145,ok,0.14918528094894964,
146,2026146,ok,0.28341601701471386,
147,2026147,ok,0.1601387468627514,
148,2026148,ok,0.30544105338345234,
149,2026149,ok,0.230498954194417,
150,2026150,ok,0.16006194517142555,
151,2026151,ok,0.24697915108323923,
152,2026152,ok,0.21330352166066266,
153,2026153,ok,0.18238788399399553,
154,2026154,ok,0.1719398741314545,
155,2026155,ok,0.21348759332511993,
